,711_S-1-S,711_S-1-M,712_S-1-S,712_S-1-M,712_S-2-D,712_S-3-S,713_S-1-S,713_S-2-S,713_S-3-S,714_S1_1-5,714_S2_1-5,714_S2_5-9,714_S3_1-5,714_S3_5-9,715_S1_1-5,715_S2_10-14,715_S3_30-34,716_S1_1-5,716_S2_1-5,716_S2_20-24,716_S3_10-14,717_S2_1-5,717_S3_1-5
711_S-1-S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711_S-1-M,-3.32142109018217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_S-1-S,-1.37310257021829,-1.37904903203058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_S-1-M,-1.26167322828757,-0.909835374877321,-0.900034665291414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_S-2-D,0.37981261605391,0.341291088719979,0.340334782445033,0.37549976635091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_S-3-S,-0.785485785457107,-3.12239378276939,-1.52135817382951,-1.51019844037834,0.438652192855632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-1-S,-0.416764331847244,-1.61748037052447,-1.16334346507916,-1.49634794527395,0.324146639770044,-0.249382499334898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-2-S,-1.66366450405078,-1.18087957350038,-1.42890544147163,0.610105705484088,0.347275226947523,-1.28116003283154,-0.896252322474654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-3-S,1.60140634644211,-4.44796099055769,-1.86196548169667,-1.335562448537,0.477890538468186,0.554680464232455,-0.668697640854286,-2.01166018681591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_S1_1-5,-0.645961309952335,-2.11348494725837,-0.898027382155616,-1.35958885722631,0.312247077240335,-1.04772364473471,-1.21520061951652,-1.33066340434572,-1.71313280149869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_S2_1-5,-0.645961309952335,-2.23755613037521,-0.816870350357738,-1.18125232364393,0.438236196902547,-1.00890799799699,-1.167187169147,-1.35315652681521,-1.60582791797431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_S2_5-9,1.33985015984307,0.525380330711641,1.06674881789163,1.05279670956731,0.619244970543401,0.996480733427291,1.40142513891843,0.932161864756554,0.537781065486608,1.28969276927623,1.35968340774799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_S3_1-5,1.86287863282511,-3.82677585382915,-1.50507003670351,-1.24847838247707,0.351448399267626,2.41386824046527,-0.94389286184014,-1.79845566050671,1.28552795318187,-1.36765090131104,-1.36765090131104,1.87356641251588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_S3_5-9,-0.0403488030825243,-4.05799082807854,-0.36699355190204,-0.196090341216472,0.881210956671694,0.232775264479894,-0.0407621367318005,-0.485395261051236,-1.05172901025965,-1.2954624838219,-1.54322880814304,1.34931427953819,0.398228812250229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
715_S1_1-5,-0.308325008630707,-2.45552367682525,0.473417507663916,-0.516361361220792,0.673538128791736,-0.899105740818364,-0.939719700431477,-0.289338150879182,-1.88103441876697,-0.164640438115743,-0.0820857058776387,0.936697455429483,-1.63462905279921,-1.96692084033492,NA,NA,NA,NA,NA,NA,NA,NA,NA
715_S2_10-14,-3.32142109018217,NA,-1.37904903203058,-0.909835374877321,0.341291088719979,-3.12239378276939,-1.61748037052447,-1.18087957350038,-4.44796099055769,-2.11348494725837,-2.23755613037521,0.525380330711641,-3.82677585382915,-4.05799082807854,-2.45552367682525,NA,NA,NA,NA,NA,NA,NA,NA
715_S3_30-34,-2.62353281906214,-2.60863086035713,-1.68332249918829,-1.32483487411755,0.0834462388519283,-2.57913851792427,-2.3098679229478,-1.60655853697627,-3.79813966679367,-1.82965147333506,-2.99418576452413,0.275617466756688,-3.07383811494552,-4.11710175529693,-2.7421182657165,-2.60863086035713,NA,NA,NA,NA,NA,NA,NA
716_S1_1-5,-0.571442514133161,-3.15631397346655,-0.683971584209067,-1.20326208137231,0.234316022205912,0.00771845642506195,1.77058774203874,-1.95986780852976,0.146717275831791,-0.405022348664593,-0.477657545897697,1.81921141225764,-1.05234143052807,-0.814833882234565,0.0192132488411379,-3.15631397346655,-2.94356953121211,NA,NA,NA,NA,NA,NA
716_S2_1-5,-0.820356659213059,-2.33904939258403,-1.18190667586174,-1.32048503335862,0.385998459012137,-1.35170283368476,-1.04781329483483,-1.60526706837394,-1.1581362519574,0.354100513571844,0.354100513571844,0.862984817252737,-0.928229616859153,-1.59811958402177,-0.0246643709286662,-2.33904939258403,-2.54160135073288,0.576588708831819,NA,NA,NA,NA,NA
716_S2_20-24,-2.62353281906214,-2.60863086035713,-1.68332249918829,-1.32483487411755,0.0834462388519283,-2.57913851792427,-2.3098679229478,-1.60655853697627,-3.79813966679367,-1.82965147333506,-2.99418576452413,0.275617466756688,-3.07383811494552,-4.11710175529693,-2.7421182657165,-2.60863086035713,NA,-2.94356953121211,-2.54160135073288,NA,NA,NA,NA
716_S3_10-14,-2.62353281906214,-2.60863086035713,-1.68332249918829,-1.32483487411755,0.0834462388519283,-2.57913851792427,-2.3098679229478,-1.60655853697627,-3.79813966679367,-1.82965147333506,-2.99418576452413,0.275617466756688,-3.07383811494552,-4.11710175529693,-2.7421182657165,-2.60863086035713,NA,-2.94356953121211,-2.54160135073288,NA,NA,NA,NA
717_S2_1-5,-0.464153237505697,-3.04543546658293,-0.802525940853851,-1.00326833721851,0.330997488110413,-0.88370340773175,1.57362426101906,-1.76726657497871,0.402945486725106,0.0823130167695068,0.0823130167695068,0.573246440979636,-0.972924687572046,-0.385637038211201,-0.21212714566089,-3.04543546658293,-2.49231697456009,-0.648122052787885,0.989640794836521,-2.49231697456009,-2.49231697456009,NA,NA
717_S3_1-5,0.400522662449036,-3.7213215849531,0.281962296777064,-0.178824797874727,0.885050599931801,-0.411763464078009,0.8781172416646,-0.068474969414403,-1.29657276540141,0.490980715133013,0.35298039331171,1.22769523391768,-1.14312771640972,-1.630879267762,-0.700987749426154,-3.7213215849531,-3.31628123306327,1.22250443457039,0.570250531462107,-3.31628123306327,-3.31628123306327,0.976562786407617,NA
