tax_id,parent_id,rank,tax_name,root,rank_0,rank_1
Root,Root,root,Root,Root,,
rdsrA,Root,rank_0,rdsrA,Root,rdsrA,
Myxococcota_2,rdsrA,rank_1,Myxococcota_2,Root,rdsrA,Myxococcota_2
Alphaproteobacteria_2,rdsrA,rank_1,Alphaproteobacteria_2,Root,rdsrA,Alphaproteobacteria_2
Chlorobi,rdsrA,rank_1,Chlorobi,Root,rdsrA,Chlorobi
Alphaproteobacteria,rdsrA,rank_1,Alphaproteobacteria,Root,rdsrA,Alphaproteobacteria
Betaproteobacteria,rdsrA,rank_1,Betaproteobacteria,Root,rdsrA,Betaproteobacteria
Gammaproteobacteria,rdsrA,rank_1,Gammaproteobacteria,Root,rdsrA,Gammaproteobacteria
Gammaproteobacteria_2,rdsrA,rank_1,Gammaproteobacteria_2,Root,rdsrA,Gammaproteobacteria_2
Unknown,Root,rank_0,Unknown,Root,Unknown,
dsrA,Root,rank_0,dsrA,Root,dsrA,
Verrucomicrobiota,dsrA,rank_1,Verrucomicrobiota,Root,dsrA,Verrucomicrobiota
Crenarchaeota,dsrA,rank_1,Crenarchaeota,Root,dsrA,Crenarchaeota
Myxococcota,dsrA,rank_1,Myxococcota,Root,dsrA,Myxococcota
Acidobacteriota,dsrA,rank_1,Acidobacteriota,Root,dsrA,Acidobacteriota
Acidobacteriota_2,dsrA,rank_1,Acidobacteriota_2,Root,dsrA,Acidobacteriota_2
Bacteroidota,dsrA,rank_1,Bacteroidota,Root,dsrA,Bacteroidota
Acidobacteriota_3,dsrA,rank_1,Acidobacteriota_3,Root,dsrA,Acidobacteriota_3
Nitrospirota,dsrA,rank_1,Nitrospirota,Root,dsrA,Nitrospirota
Euryarchaeota,dsrA,rank_1,Euryarchaeota,Root,dsrA,Euryarchaeota
Syntrophia,dsrA,rank_1,Syntrophia,Root,dsrA,Syntrophia
Actinobacteria,dsrA,rank_1,Actinobacteria,Root,dsrA,Actinobacteria
Firmicutes,dsrA,rank_1,Firmicutes,Root,dsrA,Firmicutes
Chloroflexota,dsrA,rank_1,Chloroflexota,Root,dsrA,Chloroflexota
Syntrophorhabdia,dsrA,rank_1,Syntrophorhabdia,Root,dsrA,Syntrophorhabdia
Syntrophobacteria,dsrA,rank_1,Syntrophobacteria,Root,dsrA,Syntrophobacteria
Thermodesulfobacteria,dsrA,rank_1,Thermodesulfobacteria,Root,dsrA,Thermodesulfobacteria
Firmicutes_2,dsrA,rank_1,Firmicutes_2,Root,dsrA,Firmicutes_2
Syntrophia_2,dsrA,rank_1,Syntrophia_2,Root,dsrA,Syntrophia_2
Desulfovibrionales,dsrA,rank_1,Desulfovibrionales,Root,dsrA,Desulfovibrionales
Syntrophobacterales,dsrA,rank_1,Syntrophobacterales,Root,dsrA,Syntrophobacterales
