tax_id,parent_id,rank,tax_name,root,rank_0
Root,Root,root,Root,Root,
periplasmic_NxrA,Root,rank_0,periplasmic_NxrA,Root,periplasmic_NxrA
NarG_Archaea,Root,rank_0,NarG_Archaea,Root,NarG_Archaea
cytoplasmic_NxrA_Gammaproteobacteria,Root,rank_0,cytoplasmic_NxrA_Gammaproteobacteria,Root,cytoplasmic_NxrA_Gammaproteobacteria
NarG_Desulfobacterota,Root,rank_0,NarG_Desulfobacterota,Root,NarG_Desulfobacterota
unknown_3,Root,rank_0,unknown_3,Root,unknown_3
unknown_2,Root,rank_0,unknown_2,Root,unknown_2
NarG_Cyanobacteria,Root,rank_0,NarG_Cyanobacteria,Root,NarG_Cyanobacteria
unknown_6,Root,rank_0,unknown_6,Root,unknown_6
unknown,Root,rank_0,unknown,Root,unknown
NarG_Mixed,Root,rank_0,NarG_Mixed,Root,NarG_Mixed
cytoplasmic_NxrA_Mixed,Root,rank_0,cytoplasmic_NxrA_Mixed,Root,cytoplasmic_NxrA_Mixed
NarG_Acidobacteriota,Root,rank_0,NarG_Acidobacteriota,Root,NarG_Acidobacteriota
unknown_5,Root,rank_0,unknown_5,Root,unknown_5
unknown_4,Root,rank_0,unknown_4,Root,unknown_4
NarG_Firmicutes,Root,rank_0,NarG_Firmicutes,Root,NarG_Firmicutes
NarG_Actinobacteriota,Root,rank_0,NarG_Actinobacteriota,Root,NarG_Actinobacteriota
NarG_Proteobacteria,Root,rank_0,NarG_Proteobacteria,Root,NarG_Proteobacteria
