"Habitat___from","DepthLumping_from","Year___from","MeanBetaDiversity"
"Palsa","0-9",2012,0.534381546748265
"Palsa","0-9",2013,0.743268838328094
"Palsa","0-9",2015,0.59166437109165
"Palsa","0-9",2016,0.664515618280295
"Palsa","0-9",2017,0.540658675562519
"Palsa","10-19",2012,0.552059589901202
"Palsa","10-19",2015,0.799084147616556
"Palsa","10-19",2016,0.742728929632884
"Palsa","10-19",2017,0.694294935946197
"Palsa","20-29",2011,0.63617436695024
"Palsa","20-29",2014,0.977698659656122
"Palsa","20-29",2016,0.705571604705182
"Palsa","20-29",2017,0.819229369322056
"Palsa","30-39",2012,0.761255444994089
"Palsa","30-39",2013,0.833307155491982
"Palsa","30-39",2014,0.919515016343138
"Palsa","30-39",2015,0.949741963690146
"Palsa","30-39",2016,0.797633636543144
"Bog","0-9",2011,0.506218820487152
"Bog","0-9",2013,0.688087176203866
"Bog","0-9",2014,0.685049938846277
"Bog","0-9",2015,0.591271701720679
"Bog","0-9",2016,0.665021935673669
"Bog","0-9",2017,0.623746086481454
"Bog","10-19",2012,0.481552805921233
"Bog","10-19",2013,0.488894962846111
"Bog","10-19",2014,0.467018903085918
"Bog","10-19",2015,0.54303653483545
"Bog","10-19",2016,0.559671552659787
"Bog","10-19",2017,0.482962053004233
"Bog","20-29",2011,0.470969243576888
"Bog","20-29",2014,0.500074213679448
"Bog","20-29",2015,0.464069271363494
"Bog","20-29",2016,0.544555533536104
"Bog","20-29",2017,0.554139444248052
"Bog","30-39",2013,0.513459450654915
"Bog","30-39",2014,0.466312198616289
"Bog","30-39",2015,0.440616727775088
"Bog","30-39",2016,0.496111808638834
"Bog","30-39",2017,0.510716735361948
"Fen","0-9",2012,0.486357072459852
"Fen","0-9",2013,0.463116558396434
"Fen","0-9",2014,0.546339535247187
"Fen","0-9",2015,0.484301228055701
"Fen","0-9",2016,0.570538643324636
"Fen","0-9",2017,0.496913089824725
"Fen","10-19",2015,0.624437666115469
"Fen","10-19",2016,0.507409174098075
"Fen","10-19",2017,0.57699233713936
"Fen","20-29",2012,0.36421732564962
"Fen","20-29",2013,0.764453095607045
"Fen","20-29",2014,0.481871253264802
"Fen","20-29",2015,0.345435100169928
"Fen","20-29",2016,0.254525035602377
"Fen","20-29",2017,0.385495879043546
"Fen","30-39",2014,0.846345890406959
"Fen","30-39",2015,0.842875127898483
"Fen","30-39",2016,0.840729828904025
"Fen","30-39",2017,0.864642402311517
